cell with spacer,
Reference Time Domain Signal,
Optical delay (ps),Terahertz signal (a.u.)
42.192,-0.008560661
42.292,-0.02128746
42.392,-0.0240279
42.492,-0.006096219
42.592,0.01806175
42.692,0.02092651
42.792,0.003761631
42.892,-0.00377072
42.992,0.01323531
43.092,0.03020403
43.192,0.02538732
43.292,0.01891651
43.392,0.02691153
43.492,0.04202306
43.592,0.05766675
43.692,0.07377054
43.792,0.0839003
43.892,0.08165853
43.992,0.07116388
44.092,0.05842469
44.192,0.0507447
44.292,0.05509818
44.392,0.0582624
44.492,0.0488529
44.592,0.04369881
44.692,0.05083687
44.792,0.05321335
44.892,0.05262045
44.992,0.05417473
45.092,0.04981339
45.192,0.04414902
45.292,0.05236422
45.392,0.06995502
45.492,0.08557217
45.592,0.09509878
45.692,0.09183956
45.792,0.07256076
45.892,0.05756702
45.992,0.06816561
46.092,0.09428159
46.192,0.1144537
46.292,0.1196471
46.392,0.1082432
46.492,0.08789043
46.592,0.07167808
46.692,0.0647262
46.792,0.05733661
46.892,0.03993165
46.992,0.01587891
47.092,0.001606982
47.192,-0.002659533
47.292,-0.009235113
47.392,-0.02378316
47.492,-0.03596119
47.592,-0.03264403
47.692,-0.01461392
47.792,0.01165308
47.892,0.04353766
47.992,0.06012183
48.092,0.03948641
48.192,0.004259157
48.292,-0.005040029
48.392,0.004484696
48.492,0.003064902
48.592,-0.00566056
48.692,-0.0065749
48.792,-0.001626639
48.892,0.004531818
48.992,0.01611507
49.092,0.02455787
49.192,0.01602906
49.292,0.0002042968
49.392,-0.01052096
49.492,-0.01755266
49.592,-0.01494118
49.692,0.0001227378
49.792,0.003488562
49.892,-0.0171089
49.992,-0.04083192
50.092,-0.05451631
50.192,-0.06452489
50.292,-0.07047693
50.392,-0.06226372
50.492,-0.04288165
50.592,-0.02074199
50.692,-0.001364896
50.792,0.008643107
50.892,0.01112007
50.992,0.007049737
51.092,-0.006940952
51.192,-0.02610101
51.292,-0.0331611
51.392,-0.02165697
51.492,-0.005918365
51.592,-0.00129601
51.692,-0.007333951
51.792,-0.0153363
51.892,-0.01778536
51.992,-0.01609236
52.092,-0.01814852
52.192,-0.02498086
52.292,-0.02930134
52.392,-0.02753201
52.492,-0.02561145
52.592,-0.02617168
52.692,-0.02163882
52.792,-0.01539295
52.892,-0.01682763
52.992,-0.02041735
53.092,-0.02104897
53.192,-0.01879864
53.292,-0.010075
53.392,-0.001122557
53.492,-0.003798135
53.592,-0.007531351
53.692,-0.005603544
53.792,-0.01147058
53.892,-0.02266153
53.992,-0.02494857
54.092,-0.02153051
54.192,-0.02009192
54.292,-0.01567638
54.392,-0.007272673
54.492,-0.005507633
54.592,-0.007425229
54.692,-0.002807789
54.792,0.001709732
54.892,-0.004597377
54.992,-0.01214184
55.092,-0.009666204
55.192,-0.003290713
55.292,-0.0001998842
55.392,0.001660912
55.492,0.005957305
55.592,0.004356374
55.692,-0.009061925
55.792,-0.02166583
55.892,-0.02328173
55.992,-0.01683822
56.092,-0.007738221
56.192,0.001006922
