cell,
Sample Time Domain Signal,
Optical delay (ps),Terahertz signal (a.u.)
41.692,-0.006833072
41.792,-0.0182148
41.892,-0.02271907
41.992,-0.0260782
42.092,-0.02789274
42.192,-0.0216955
42.292,-0.00441786
42.392,0.01422174
42.492,0.01676106
42.592,0.0006781496
42.692,-0.02129773
42.792,-0.03603908
42.892,-0.03588252
42.992,-0.02095526
43.092,0.00294771
43.192,0.01942308
43.292,0.01603835
43.392,0.0007695067
43.492,-0.00880303
43.592,-0.007620047
43.692,-0.002393412
43.792,0.001135757
43.892,-0.0009609433
43.992,-0.0009804196
44.092,0.008931254
44.192,0.02357261
44.292,0.02799459
44.392,0.01294276
44.492,-0.01411112
44.592,-0.0312665
44.692,-0.02360708
44.792,0.005391612
44.892,0.03629649
44.992,0.04734432
45.092,0.03503406
45.192,0.01627919
45.292,0.009131137
45.392,0.02046897
45.492,0.03724001
45.592,0.04006643
45.692,0.02925257
45.792,0.01940412
45.892,0.02075122
45.992,0.02724514
46.092,0.02730175
46.192,0.01623599
46.292,0.001751729
46.392,-0.004260443
46.492,0.00338268
46.592,0.01484104
46.692,0.01839254
46.792,0.01339757
46.892,0.003104349
46.992,-0.002955964
47.092,0.003404311
47.192,0.01740923
47.292,0.02901121
47.392,0.0342208
47.492,0.03445147
47.592,0.03938199
47.692,0.05439372
47.792,0.06686733
47.892,0.06396713
47.992,0.04740071
48.092,0.03099273
48.192,0.02725452
48.292,0.0360581
48.392,0.04989025
48.492,0.05671143
48.592,0.04811583
48.692,0.0330049
48.792,0.02643268
48.892,0.03274125
48.992,0.04476482
49.092,0.05109759
49.192,0.04401477
49.292,0.02760592
49.392,0.01441837
49.492,0.0133873
49.592,0.01716547
49.692,0.01241863
49.792,0.0007559085
49.892,-0.008733546
49.992,-0.009441428
50.092,-0.001549011
50.192,0.005685162
50.292,0.004096231
50.392,-0.004617241
50.492,-0.01118767
50.592,-0.009886478
50.692,-0.005323366
50.792,-0.01186451
50.892,-0.03588727
50.992,-0.06977418
51.092,-0.0981929
51.192,-0.1148627
51.292,-0.128357
51.392,-0.1478025
51.492,-0.1737463
51.592,-0.2052561
51.692,-0.2374262
51.792,-0.2634543
51.892,-0.2886226
51.992,-0.3226042
52.092,-0.365528
52.192,-0.4134569
52.292,-0.4581098
52.392,-0.4905347
52.492,-0.508164
52.592,-0.5185617
52.692,-0.5176567
52.792,-0.4770854
52.892,-0.3647227
52.992,-0.1520424
53.092,0.1721562
53.192,0.5836427
53.292,1.004191
53.392,1.315704
53.492,1.391466
53.592,1.167577
53.692,0.6969787
53.792,0.1540115
53.892,-0.2377386
53.992,-0.3270527
54.092,-0.1330329
54.192,0.158049
54.292,0.3298427
54.392,0.294413
54.492,0.1435017
54.592,0.03684624
54.692,0.04674582
54.792,0.1119496
54.892,0.1373386
54.992,0.1096636
55.092,0.09014886
55.192,0.1099345
55.292,0.1283186
55.392,0.1074553
55.492,0.07625234
55.592,0.0783214
55.692,0.09627841
55.792,0.0894024
55.892,0.06799806
55.992,0.06938341
56.092,0.08806691
56.192,0.09121142
56.292,0.08082338
56.392,0.0719589
56.492,0.05630434
56.592,0.03646357
56.69201,0.03563438
56.792,0.04903449
56.89201,0.05468406
56.992,0.05242618
57.09201,0.04612726
57.192,0.0285832
57.292,0.01289131
57.39201,0.01493893
57.492,0.02300485
57.59201,0.0243905
57.692,0.02242841
57.792,0.01804468
57.892,0.0146094
57.992,0.01597069
58.092,0.01237224
58.192,0.005465968
58.292,0.002766398
58.392,-0.0005020435
58.492,-0.002222078
58.592,0.0007087599
58.692,0.00247066
58.792,0.005050612
58.892,0.00756123
58.992,0.001978249
59.092,-0.002568746
59.192,0.0007161311
59.292,0.007823537
59.392,0.01670432
59.492,0.02019231
59.592,0.01682424
59.692,0.01696903
59.792,0.02246832
59.892,0.0255334
59.992,0.01799897
60.092,0.0009658373
60.192,-0.01348346
60.292,-0.0152588
60.392,-0.008102189
60.492,0.001129398
60.592,0.003142512
60.69201,-0.005571718
60.792,-0.01762298
60.892,-0.02547832
60.992,-0.02213294
61.092,-0.01061368
61.19201,-0.002145863
61.292,-0.002804436
61.39201,-0.00901536
61.492,-0.01282368
61.59201,-0.009537888
61.692,-0.004994297
61.792,-0.006065221
61.892,-0.01210586
61.992,-0.01815928
62.09201,-0.01814391
62.192,-0.009989141
62.292,-0.0006509683
62.392,0.0062563
62.492,0.007740751
62.592,0.006063549
62.692,0.005165187
62.792,0.005387381
62.892,0.00808636
62.992,0.009391258
63.092,0.003323271
63.192,-0.004760377
63.292,-0.006145496
63.392,-0.001244749
