water room temp,
Sample Time Domain Signal,
Optical delay (ps),Terahertz signal (a.u.)
30.892,-0.02098481
30.992,-0.02304356
31.092,-0.02472864
31.192,-0.02666368
31.292,-0.02895834
31.392,-0.03112761
31.492,-0.03309727
31.592,-0.0341395
31.692,-0.03534035
31.792,-0.0370032
31.892,-0.03827644
31.992,-0.03936055
32.092,-0.03956829
32.192,-0.04062324
32.292,-0.0429135
32.392,-0.04592691
32.492,-0.04821175
32.592,-0.04968764
32.692,-0.0495922
32.792,-0.04847308
32.892,-0.04738854
32.992,-0.04674195
33.092,-0.04695364
33.192,-0.0470229
33.292,-0.04703577
33.392,-0.04549564
33.492,-0.04391441
33.592,-0.04244848
33.692,-0.041478
33.792,-0.04030078
33.892,-0.03871321
33.992,-0.03694303
34.092,-0.03528327
34.192,-0.03525636
34.292,-0.03655874
34.392,-0.03797976
34.492,-0.03822935
34.592,-0.03687839
34.692,-0.03370725
34.792,-0.02999329
34.892,-0.0257651
34.992,-0.02209136
35.092,-0.01942451
35.192,-0.01793833
35.292,-0.01716093
35.392,-0.016865
35.492,-0.0160658
35.592,-0.01529712
35.692,-0.01412501
35.792,-0.01275427
35.892,-0.01234566
35.992,-0.01270832
36.092,-0.01363571
36.192,-0.01450421
36.292,-0.01465102
36.392,-0.01357481
36.492,-0.01221793
36.592,-0.01040596
36.692,-0.008402696
36.792,-0.006422594
36.892,-0.004350304
36.992,-0.003266133
37.092,-0.0040989
37.192,-0.005856257
37.292,-0.008645613
37.392,-0.01124206
37.492,-0.01223493
37.592,-0.01068875
37.692,-0.007879768
37.792,-0.005890806
37.892,-0.006204376
37.992,-0.008124699
38.092,-0.01147777
38.192,-0.01417721
38.292,-0.01483387
38.392,-0.01365094
38.492,-0.01152621
38.592,-0.01006695
38.692,-0.01003766
38.792,-0.0113282
38.892,-0.01331298
38.992,-0.01459441
39.092,-0.0163902
39.192,-0.01696445
39.292,-0.01712433
39.392,-0.01635676
39.492,-0.01560798
39.592,-0.01622676
39.692,-0.0191159
39.792,-0.02362446
39.892,-0.02770741
39.992,-0.0295117
40.092,-0.02867765
40.192,-0.02598251
40.292,-0.023323
40.392,-0.02204165
40.492,-0.02142276
40.592,-0.02181805
40.692,-0.02282083
40.792,-0.02489393
40.892,-0.027364
40.992,-0.02870929
41.092,-0.02774428
41.192,-0.02431632
41.292,-0.02106901
41.392,-0.01998252
41.492,-0.02227095
41.592,-0.02540858
41.692,-0.02733556
41.792,-0.02440643
41.892,-0.01804857
41.992,-0.01056665
42.092,-0.00527224
42.192,-0.003202519
42.292,-0.003850255
42.392,-0.00566301
42.492,-0.008178262
42.592,-0.009969687
42.692,-0.01103858
42.792,-0.01095507
42.892,-0.008973317
42.992,-0.00597965
43.092,-0.004082163
43.192,-0.004613346
43.292,-0.007327406
43.392,-0.01085589
43.492,-0.01329676
43.592,-0.01326038
43.692,-0.01045719
43.792,-0.007098636
43.892,-0.004173552
43.992,-0.003459114
44.092,-0.003500332
